EMPLOYEE #,satisfaction_level,last_evaluation
1003,0.38,0.53
1005,0.8,0.86
1486,0.11,0.88
1038,0.72,0.87
1057,0.37,0.52
1060,0.41,0.5
1061,0.1,0.77
1576,0.92,0.85
1752,0.89,1
1988,0.42,0.53
1071,0.45,0.54
1088,0.11,0.81
2040,0.84,0.92
1097,0.41,0.55
1100,0.36,0.56
1113,0.38,0.54
58014,0.45,0.47
3322,0.78,0.99
3794,,
1140,,0.89
1148,0.11,0.83
1149,0.38,0.55
1158,0.09,0.95
1166,0.46,0.57
1175,0.4,0.53
1184,0.89,0.92
1186,0.82,0.87
1201,0.4,0.49
1203,0.41,0.46
1204,0.38,0.5
1214,0.09,0.62
1223,0.45,0.57
1228,0.4,0.51
1230,,
1236,0.84,0.87
4266,0.1,0.94
1240,0.38,0.46
1248,0.45,0.5
1256,0.11,0.89
4414,0.41,0.54
1284,0.87,0.88
5983,0.45,0.48
1293,0.4,0.46
7010,0.1,0.8
52647,0.09,0.89
10497,0.84,0.74
1310,0.4,0.55
1311,0.57,0.7
1316,0.4,0.54
1319,0.43,0.47
10865,0.13,0.78
1332,0.44,0.55
1334,0.38,0.55
1340,,
1341,0.1,0.92
1347,0.37,0.46
14030,0.11,0.94
1361,0.1,0.81
1371,0.38,0.54
1374,0.85,1
1393,0.85,0.91
1399,0.11,0.93
1404,0.1,0.95
1413,0.36,0.56
42423,0.11,0.94
1424,0.81,0.7
1426,0.43,0.54
1430,0.9,0.98
1438,0.76,0.86
11426,0.43,0.5
1443,0.74,0.99
1450,0.09,0.77
22316,,
1454,0.09,0.87
1463,0.11,0.97
1466,0.11,0.79
1467,0.1,0.83
1473,0.4,0.54
13107,0.43,0.56
1489,0.39,0.56
1490,0.45,0.54
1493,0.38,0.49
1506,0.79,0.59
1508,0.84,0.85
15896,0.11,0.77
1530,0.11,0.87
1537,0.17,0.84
1543,0.44,0.45
1548,0.37,0.57
1558,0.1,0.79
1571,0.4,0.5
17231,0.89,1
1581,,
1590,0.46,0.55
1595,0.09,0.83
1605,0.37,0.51
1610,0.1,0.77
1622,0.1,0.84
1639,0.11,0.97
1641,0.9,1
1642,0.38,0.52
1651,0.36,0.52
1658,0.42,0.46
1659,0.09,0.94
1665,0.43,0.52
1669,0.24,0.46
1674,0.91,1
17376,,
1679,0.71,0.87
19808,0.4,0.49
1691,0.43,0.47
1698,0.09,0.85
1705,0.43,0.52
22928,0.9,0.96
1713,0.84,1
1715,0.37,0.48
23766,0.86,0.68
1730,0.11,0.84
1733,0.37,0.57
23901,0.4,0.46
1739,,
1741,0.4,0.46
1742,0.75,1
1743,0.11,0.84
24128,0.46,0.49
1771,0.11,0.92
25406,0.38,0.49
1786,0.7,0.89
1789,0.09,0.82
1802,0.37,0.45
1819,0.1,0.83
1822,0.38,0.57
26438,0.9,1
1828,0.44,0.51
1833,0.36,0.5
1842,0.31,0.84
1843,0.1,0.84
1847,,
1849,0.74,1
1852,0.73,0.87
1863,0.09,0.96
1864,0.45,0.53
1865,0.11,0.8
26632,0.37,0.47
26925,0.84,0.99
7596,0.41,0.46
1894,0.76,0.92
1897,0.11,0.87
1898,0.84,0.88
1901,0.39,0.5
1902,0.11,0.91
28174,0.45,0.56
1912,0.37,0.52
1915,0.4,0.52
1920,0.39,0.48
1924,0.11,0.8
1931,0.83,1
1936,0.11,0.92
1938,0.39,0.5
1948,0.45,0.45
1953,0.1,0.95
28695,0.9,0.98
1964,0.45,0.51
1969,0.79,0.89
1970,0.9,0.99
1980,0.11,0.84
1984,0.43,0.55
31262,0.31,0.54
32334,0.32,0.5
1999,0.45,0.57
2009,0.81,0.99
2016,0.41,0.46
2021,0.11,0.78
2025,0.1,0.88
2026,0.7,0.53
32923,,
2078,0.41,0.48
33098,0.38,0.5
2084,0.37,0.51
2092,0.11,0.85
91566,0.4,0.47
2110,0.1,0.84
2111,0.89,0.99
2118,0.11,0.8
2125,0.36,0.55
2126,0.4,0.46
2128,0.09,0.85
2135,0.4,0.46
2152,0.37,0.55
2156,0.44,0.51
2157,0.09,0.8
2160,0.92,
2169,0.74,0.91
2173,0.09,0.82
2174,0.89,0.95
2178,0.09,0.8
2181,0.27,0.54
2187,0.1,0.91
2189,0.1,0.89
2191,0.77,0.94
2193,0.9,0.82
2197,0.39,0.5
2200,0.76,1
2204,0.1,0.93
35563,0.87,0.9
2212,0.38,0.5
35940,0.77,0.99
2222,0.78,0.87
36647,0.44,0.5
2234,0.38,0.52
2241,0.43,0.46
2248,0.39,0.5
37364,0.88,1
2253,0.45,0.46
2269,0.4,0.53
2277,0.36,0.51
2279,0.36,0.48
2283,0.9,0.98
38260,0.43,0.53
2299,0.89,0.87
2300,0.1,0.84
38901,0.37,0.5
2311,0.37,0.51
2314,0.87,0.9
2318,0.4,0.56
2340,0.9,0.97
2346,0.37,0.46
2362,0.44,0.54
2363,0.85,0.95
40347,0.78,0.98
2395,0.42,0.47
2402,0.92,0.99
2405,0.11,0.83
2415,0.42,0.56
40729,0.48,0.57
2434,0.83,0.85
2444,0.4,0.53
41054,0.43,0.45
41767,0.43,0.53
64871,0.1,0.97
2468,0.1,0.87
2475,0.37,0.46
2476,0.38,0.53
97541,0.4,0.5
2488,0.89,0.86
42255,0.45,0.46
98548,0.37,0.48
25138,0.46,0.49
2514,0.87,0.91
2515,0.11,0.84
2523,0.79,0.87
2561,0.79,0.92
2565,0.19,0.59
2568,0.87,0.98
2571,0.6,0.92
2579,0.44,0.45
44247,0.11,0.81
2605,0.42,0.54
2613,0.88,0.88
45097,0.11,0.84
2630,0.46,0.46
2632,0.82,0.97
2634,0.44,0.56
2645,0.11,0.78
45783,0.42,0.5
2658,0.84,0.93
2665,0.11,0.95
2672,0.45,0.53
2675,0.38,0.56
2677,0.38,0.86
49125,0.44,0.51
